id,smiles
CHEMBL555872,CSc1ccc(cc1)[C@H]2OC[C@@]3(C)[C@@H](CC[C@@]3(O)C(F)(F)C(F)(F)F)[C@@H]4CCC5=CC(=O)CCC5=C24
CHEMBL237496,CC1(CC(O)(Cc2ccnc3ccccc23)C(F)(F)F)CCCc4ccccc14
CHEMBL194114,C[C@]12Cc3cnn(c3C=C1CC[C@@]24OC[C@@H](O4)c5ccccc5)c6ccc(F)cc6
CHEMBL3358942,CC(C)(CC(O)(Cc1cc2cc(ncc2[nH]1)S(=O)(=O)C)C(F)(F)F)c3ccccc3C(=O)N
CHEMBL2021945,C[C@]12Cc3cnn(c3C=C1CC[C@H]4[C@@H]5CC[C@](O)(C(=O)CSc6ccccn6)[C@@]5(C)C[C@H](O)[C@H]24)c7ccc(F)cc7
CHEMBL501745,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)NC(C)(C)CC(C)(C)C)C(=O)CO
CHEMBL396029,CC(Cc1c[nH]c2ccccc12)NS(=O)(=O)c3c(Cl)cc(Cl)cc3Cl
CHEMBL377844,CC1=NOC(=O)c2ccc(NC(=O)C(O)(CC3CCCc4cc(F)ccc34)C(F)(F)F)cc12
CHEMBL219684,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)CCO[C@H]6CC[C@@]7(C)[C@H](C[C@@H](O)[C@H]8[C@@H]9CC[C@H]([C@H](C)CCC(=O)O)[C@@]9(C)[C@@H](O)C[C@H]78)C6
CHEMBL1668091,C[C@@H](CNc1cc(C)cc2c1cnn2c3cccc(c3)C(=O)N4CCC[C@H]4C(=O)N)NS(=O)(=O)C5CC5
CHEMBL1668092,C[C@@H](CNc1cc(C)cc2c1cnn2c3cccc(c3)C(=O)N4CCCC(CO)C4)NS(=O)(=O)C5CC5
CHEMBL3233271,COc1ccc(F)cc1C(C)(C)CC(O)(Cc2cc3ccncc3[nH]2)C(C)C
CHEMBL1253986,CC(C)(CC(O)(Cc1cc2ccncc2[nH]1)C(F)(F)F)c3ccccc3
CHEMBL1253987,CC(C)(CC(O)(Cc1cc2ccncc2[nH]1)C(F)(F)F)c3cccc(F)c3
CHEMBL444286,C\C=C\[C@H]1OC2(CCC3=Cc4c(C[C@]23C)cnn4c5ccc(F)cc5)O[C@@H]1\C=C\C
CHEMBL233660,CC(Cc1c[nH]c2ccccc12)NS(=O)(=O)c3c(Cl)cccc3Cl
CHEMBL1254080,COc1ccc(cc1C(C)(C)CC(O)(Cc2cc3ccncc3[nH]2)C(F)(F)F)c4ccccc4
CHEMBL2087294,Cc1ccccc1Oc2ccc(CN(Cc3cc(F)cc(F)c3)c4c(Br)cc(CC(=O)O)cc4Br)cc2
CHEMBL195990,C[C@]12Cc3cnn(c3C=C1CCC24O[C@@H]([C@H](O4)c5ccccc5)c6ccccc6)c7ccc(F)cc7
CHEMBL48308,COc1cccc2OC(C3CCCCC\C=C/3)c4c(ccc5NC(C)(C)C=C(C)c45)c12
CHEMBL3233269,COc1ccc(F)cc1C(C)(C)CC(C)(O)Cc2cc3ccncc3[nH]2
CHEMBL1917416,Cc1ccnc(SCC(=O)[C@]2(CC[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]23C)OC(=O)c6occc6)n1
CHEMBL1917415,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(OC(=O)c5occc5)C(=O)CSc6nccc7ccccc67
CHEMBL1917414,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(OC(=O)c5occc5)C(=O)CSc6nc7ccccc7s6
CHEMBL427554,CC(C)(CC(O)(CCc1ccccc1)C(=O)Nc2ccc3C(=O)OCc3c2)c4ccccc4
CHEMBL1950694,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc6oc(C)nc6c5
CHEMBL394369,COc1c(O)ccc2O\C(=C/c3sccc3CO)\c4c(ccc5NC(C)(C)C=C(C)c45)c12
CHEMBL1950696,CC#C[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc6oc(nc6c5)C(F)(F)F)NC=O
CHEMBL1950697,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc6oc(nc6c5)C(F)(F)F
CHEMBL1950693,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc6ocnc6c5
CHEMBL4098641,C[C@H](NC(=O)C(C)(F)F)[C@H](Oc1ccc2c(cnn2c3cccc(c3)C(=O)N4CCC[C@@H]4C(=O)N)c1)c5ccc6COCOc6c5
CHEMBL1950698,CC#C[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc6ocnc6c5)NC=O
CHEMBL3358946,CC(C)(CC(O)(Cc1cc2cc(ncc2[nH]1)S(=O)(=O)C)C(F)(F)F)c3ccc(F)cc3C(=O)N
CHEMBL1257343,COc1ccc(F)cc1C(C)(C)CC(O)(CNc2cccc3ncccc23)C(F)(F)F
CHEMBL3093460,Cc1cc(C)c(c(C)c1)S(=O)(=O)NC(CSc2ccccc2)C(F)(F)F
CHEMBL3920760,CCc1ccc(cc1)[C@@H](Oc2ccc3c(cnn3c4ccc(F)cc4)c2)[C@H](C)NC(=O)C(C)(C)C
CHEMBL336353,CN(C)c1ccccc1\C=C\2/Oc3ccc(F)cc3c4ccc5NC(C)(C)C=C(C)c5c24
CHEMBL337856,CC1=CC(C)(C)Nc2ccc3c4cccc(F)c4O\C(=C/c5ccccc5C)\c3c12
CHEMBL2087290,OC(=O)Cc1cc(Br)c(N(Cc2ccc(Oc3ccccc3Cl)cc2)Cc4cc(F)cc(F)c4)c(Br)c1
CHEMBL196929,CC(C)(CC(O)(Cc1ccc(cc1)c2ccccc2)C(=O)Nc3ccc4C(=O)OCc4c3)c5ccccc5
CHEMBL4094154,C[C@H](NC(=O)C(C)(F)F)[C@H](Oc1ccc2c(cnn2c3ccc(F)cc3)c1)c4ccc5COCOc5c4
CHEMBL549896,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](OC[C@]12C)c5ccc(cc5)N(C)C
